	D21BC	D21PT	D21R6	D21R7
RN7SKP171	0	0	0	0
TRMT10B	43	46	55	64
EXOSC3	67	78	101	83
DCAF10	174	223	291	220
AL138752.1	2	3	1	0
PAICSP1	1	3	5	3
SLC25A51	87	64	115	96
TMX2P1	52	58	92	73
SHB	5	3	8	9
RNU7-124P	0	0	0	0
AL135785.1	0	0	0	0
ALDH1B1	267	260	574	353
IGFBPL1	0	0	1	0
AL390726.6	0	0	1	0
ARMC8P1	0	0	0	0
TCEA1P3	0	0	0	0
GAS2L1P1	0	0	0	0
VN1R48P	0	0	0	0
AL390726.1	0	0	0	0
FAM220BP	0	0	0	0
AL390726.5	0	0	0	0
FAM95C	0	0	0	0
AL390726.4	0	0	0	0
AL390726.3	0	0	0	0
AL390726.2	0	0	0	0
SNX18P3	0	0	0	0
ANKRD18A	0	0	0	0
FAM201A	0	0	0	0
YWHABP1	0	0	0	0
AL591543.1	0	0	0	0
RNU6-765P	0	0	0	0
FAM240B	0	0	0	0
AL845311.1	0	0	0	0
VN2R3P	0	0	0	0
CNTNAP3	1	3	6	0
RBM17P1	0	0	0	0
AL353729.2	0	0	0	0
AL353729.1	0	0	0	0
RN7SL640P	0	0	0	0
SPATA31A1	0	0	0	0
BX005214.3	0	0	0	0
FAM74A1	0	0	0	0
BX005214.1	0	0	0	0
BX005214.2	0	0	0	0
ZNF658B	2	3	5	7
SKP1P3	0	0	0	0
FKBP4P2	0	0	0	0
SDR42E1P1	0	0	0	0
ATP5F1AP8	0	0	0	0
RAB28P1	0	0	0	0
RBPJP5	0	0	0	0
GLIDR	5	6	15	10
BX664615.1	5	6	8	5
FGF7P3	0	0	0	0
BX664615.2	1	0	0	0
CR769767.2	0	0	0	0
RN7SL763P	0	0	0	0
CR769767.1	0	0	0	0
AL772307.1	1	1	2	0
RPL7AP49	0	0	0	0
AL773545.3	3	6	4	1
C2orf27AP3	0	0	0	0
AL773545.1	0	0	0	0
AL773545.2	0	0	0	0
AL773545.4	0	0	0	0
MEP1AP1	0	0	0	0
ANKRD20A2	0	0	0	0
RNU6-1269P	0	0	0	0
BX664727.3	0	1	1	4
BX664727.2	0	0	0	0
SNX18P8	0	0	0	0
FAM95B1	0	0	0	0
BX664727.1	0	0	0	0
CNN2P2	0	0	0	0
GXYLT1P3	0	0	0	0
AL591471.1	0	0	0	0
AQP7P5	0	0	0	0
FP885919.1	0	0	0	0
AMYH02020865.1	1	0	0	0
BMS1P14	0	0	0	0
FP325318.1	0	0	0	0
IGKV1OR9-2	0	0	0	0
AL353626.3	0	0	0	0
RNU6-156P	0	0	0	0
AL353626.1	0	0	0	0
AL353626.2	0	1	2	2
MIR1299	0	0	1	2
FRG1HP	45	66	54	64
PGM5P2	22	16	21	16
AL353763.2	12	8	9	8
AL353763.1	0	6	4	3
BX255923.1	0	0	0	0
BX255923.2	1	0	0	0
FOXD4L6	0	0	0	0
CBWD6	4	4	14	9
MIR4477A	0	0	0	0
RNA5SP530	0	0	0	0
AL845472.2	0	3	1	2
AL845472.1	0	0	0	0
CDK2AP2P1	0	0	0	0
MYO5BP1	0	0	0	0
AL354718.2	0	0	0	0
AL354718.3	0	0	0	0
AL354718.1	5	15	6	10
AL591926.4	0	0	0	0
RN7SL565P	0	0	0	0
FAM27D1	0	1	1	0
AL591926.8	0	2	0	2
AL591926.7	0	0	0	0
FAM27E2	0	0	0	0
AL591926.3	0	0	0	0
AL591926.5	0	0	0	0
AL591926.2	0	0	2	0
AL591926.1	0	0	0	0
AL591926.6	0	1	0	0
AL162731.1	0	1	0	0
CNTNAP3B	2	4	7	6
RBM17P3	0	0	1	0
CR788268.1	0	0	0	0
RN7SL343P	0	0	0	0
SPATA31A6	0	0	0	0
AL445584.1	0	0	0	0
FAM74A7	0	0	0	0
AL445584.3	0	0	0	0
AL445584.2	0	0	0	0
FKBP4P6	0	0	0	0
SDR42E1P2	0	0	0	0
ATP5F1AP1	0	0	0	0
RAB28P3	0	0	0	0
RBPJP6	0	0	0	0
BX088651.4	2	1	8	2
BX088651.1	1	2	0	1
BX088651.2	0	0	0	0
FGF7P5	0	0	0	0
BX088651.3	0	0	0	0
FGF7P4	0	0	0	0
BX664718.1	0	0	0	0
ADGRF5P2	0	0	0	0
MEP1AP4	0	0	0	0
ANKRD20A7P	0	0	0	0
RNU6-599P	0	0	0	0
CR848007.1	0	0	0	0
CR848007.3	0	0	0	0
SNX18P5	0	0	0	0
CYP4F60P	0	0	0	0
CR848007.2	0	0	0	0
CNN2P4	1	0	1	0
GXYLT1P5	0	0	0	0
AL591441.2	0	0	0	0
AL591441.1	0	0	0	0
FP325317.1	0	1	3	1
BX088702.1	0	0	0	0
SPATA31A5	0	0	0	0
AL590491.1	0	0	0	0
FAM74A6	0	0	0	0
AL590491.2	0	0	0	0
AL590491.3	0	0	0	0
BX005040.4	0	0	0	0
SPATA31A7	0	0	0	0
BX005040.3	0	0	0	0
BX005040.2	0	0	0	0
FAM74A4	0	0	0	0
BX005040.1	0	0	0	0
BX088645.1	0	0	0	0
RN7SL462P	0	0	0	0
AL935212.4	0	0	0	0
AL935212.2	0	0	0	0
AL935212.1	0	0	0	0
AL935212.3	0	0	0	0
RN7SL722P	0	0	0	0
FAM27C	3	2	0	0
AL391987.6	0	0	0	0
AL391987.1	0	0	0	0
FAM27E4	1	0	0	0
AL391987.4	0	0	0	0
AL391987.2	0	0	0	0
AL391987.3	0	0	0	0
AL391987.5	0	0	0	0
CR769775.3	0	0	0	0
CR769775.1	3	1	2	0
CR769775.4	1	1	0	1
CR769775.2	1	0	0	0
AL590399.4	5	2	4	3
AL590399.3	0	0	1	0
AL590399.6	0	0	0	0
RN7SL544P	0	0	0	0
AL590399.1	3	2	4	4
FGF7P6	5	1	4	1
AL590399.5	0	0	0	0
AL590399.2	0	0	0	0
BX664725.1	0	0	0	0
FGF7P7	0	0	0	0
LINC01189	1	0	0	0
BX005266.2	2	0	0	0
BX005266.1	0	1	0	1
CNTNAP3P5	0	0	0	0
RBPJP7	0	0	0	0
RAB28P2	0	0	0	0
BX005266.3	0	0	0	0
ATP5F1AP7	0	0	0	0
SDR42E1P3	0	0	0	0
FKBP4P7	0	0	0	0
LINC01410	1	2	2	3
RNA5SP283	0	0	1	0
AL512625.2	1	1	4	0
PTGER4P2	0	0	0	0
CDK2AP2P2	0	0	0	0
AL512625.3	0	2	2	1
MYO5BP2	0	0	1	0
ADGRF5P1	0	0	0	0
FGF7P8	0	0	0	0
AL512625.1	4	6	7	4
CNTNAP3P1	0	1	0	0
AL591379.2	0	0	0	0
BMS1P9	0	1	0	0
AL591379.1	0	1	0	0
AQP7P4	0	0	0	0
AQP7P1	8	15	3	4
AL845321.1	2	3	1	0
BMS1P10	2	2	2	6
AL591438.1	0	0	0	0
AL591438.2	0	0	0	0
AL772155.3	0	0	0	0
AL772155.1	0	0	0	0
AL772155.2	0	0	0	0
MYO5BP3	0	0	0	0
CDK2AP2P3	0	0	0	0
PTGER4P3	0	0	0	0
CR786580.1	0	0	0	0
RNA5SP284	0	0	0	0
DUX4L50	0	3	1	3
MIR4477B	0	0	0	0
FRG1JP	7	5	4	4
AL163540.1	1	0	0	0
ANKRD20A4	1	0	0	1
RNU6-1193P	0	0	0	0
SNX18P9	0	1	0	0
CR769776.2	0	1	0	0
CYP4F25P	0	0	0	0
CR769776.1	0	0	0	0
CNN2P3	0	1	0	0
GXYLT1P6	0	0	1	0
AL773524.1	0	0	0	0
AQP7P2	0	3	1	0
AL445665.1	0	0	0	0
BMS1P11	0	0	0	0
AL359955.2	0	0	0	0
IGKV1OR-2	0	0	0	0
BNIP3P4	0	0	0	0
AL359955.1	0	0	0	0
AC125634.1	0	0	0	0
RNU6-1293P	0	0	0	0
BMS1P12	0	0	0	0
AL512605.1	2	0	0	0
AL512605.2	0	0	0	0
IGKV1OR9-1	0	0	0	0
FOXD4L5	0	0	0	0
CBWD4P	3	0	1	3
FRG1KP	0	0	0	0
CBWD5	37	31	36	29
FOXD4L4	0	1	2	0
IGKV1OR-3	0	0	0	0
BX284632.2	0	0	0	0
BX284632.1	0	0	0	0
BMS1P13	0	0	0	0
AC129778.1	0	0	0	0
AQP7P3	0	0	0	0
AL136317.2	0	1	0	0
AL136317.1	0	0	0	0
GXYLT1P4	0	0	0	0
AL136317.3	0	0	0	0
AL669942.2	0	0	0	0
AL669942.1	0	0	0	0
SNX18P4	0	0	0	0
AL513478.1	0	0	0	0
ANKRD20A3	0	0	0	0
RNU6-538P	0	0	0	0
AL513478.2	0	0	0	0
AL513478.3	0	0	0	0
AL513478.4	0	0	0	0
AL591479.1	0	0	0	0
RBPJP2	0	0	0	0
RAB28P4	0	0	0	0
ATP5F1AP10	0	0	0	0
SDR42E1P4	0	0	0	0
FKBP4P8	0	0	0	0
ZNF658	16	19	38	29
BX664608.1	0	0	0	0
AL353770.4	0	0	0	0
AL353770.2	0	0	0	0
FAM74A3	0	0	0	0
AL353770.3	0	0	0	0
AL353770.1	0	0	0	0
SPATA31A3	0	0	0	0
CNTNAP3P2	0	0	2	1
RN7SL422P	0	0	0	0
AL162233.1	0	0	0	0
RBM17P2	0	0	0	0
BX005195.1	0	0	0	0
BX664730.1	0	0	0	0
AL627230.5	0	0	0	0
AL627230.3	0	0	0	0
FAM27E3	5	3	5	6
AL627230.8	3	0	0	0
AL627230.1	0	0	0	0
AL627230.7	0	0	0	0
AL627230.4	2	1	2	2
FAM27B	0	2	0	0
AL627230.2	22	17	20	10
RN7SL787P	0	0	0	0
AL627230.6	1	0	1	0
ANKRD20A1	0	0	0	0
RNU6-368P	0	0	0	0
BX649567.1	0	0	0	0
AL353608.2	0	0	0	0
CBWD3	7	10	3	4
AL353608.4	0	2	0	0
FOXD4L3	0	0	0	0
AL353608.3	0	0	0	0
AL353608.1	0	0	0	0
PGM5	6	16	31	14
PGM5-AS1	0	1	0	0
AL161457.2	3	2	1	2
AL161457.1	0	0	0	0
TMEM252	0	0	0	0
AL353616.2	0	0	0	0
LINC01506	0	0	1	0
AL353616.1	0	0	0	1
PIP5K1B	0	1	1	0
FAM122A	64	62	143	113
AL354794.2	0	0	0	1
AL354794.1	0	0	0	0
RNU6-820P	0	0	0	0
PRKACG	0	0	0	0
FXN	10	17	30	16
AL358113.1	3	4	11	13
AL162730.1	0	0	0	0
TJP2	5	3	18	20
BANCR	0	0	1	0
FAM189A2	1	0	1	0
APBA1	20	27	72	51
AL355140.1	0	0	0	0
AL353693.1	1	1	0	0
AL162412.1	0	0	1	0
PTAR1	580	594	710	531
C9orf135-AS1	0	0	0	0
C9orf135	1	0	0	0
RN7SL570P	0	0	0	0
MAMDC2-AS1	30	52	74	43
MAMDC2	338	291	759	499
RNU2-5P	0	0	3	0
SMC5-AS1	41	38	76	47
RPL24P8	5	2	3	1
SMC5	489	480	516	296
AL162390.1	2	5	10	5
KLF9	269	309	529	459
TRPM3	2	4	7	12
RN7SL726P	0	0	0	0
AL159990.2	0	0	0	0
AL159990.1	0	0	0	0
MIR204	0	0	0	0
PIGUP1	0	0	1	0
RPL35AP21	0	0	0	0
TMEM2	434	497	566	435
AL671309.1	0	0	0	0
ABHD17B	39	42	82	48
C9orf85	30	42	75	63
HSPB1P1	0	0	0	0
C9orf57	0	0	0	0
BTF3P4	0	0	0	0
GDA	0	0	0	0
AL135924.2	0	0	0	0
AL135924.1	0	0	0	0
RNA5SP285	0	0	0	0
LINC01504	2	1	2	3
ZFAND5	529	675	929	722
AL445646.1	0	0	0	0
AL596448.1	0	0	0	0
TMC1	1	0	0	2
RPS20P24	0	0	0	0
RPS27AP15	0	0	0	0
LINC01474	0	0	0	0
ALDH1A1	6	1	5	2
CYP1D1P	0	0	0	0
ANXA1	1091	989	1941	1576
DPP3P2	0	0	0	0
AL451127.1	0	0	0	0
AL512594.1	0	0	0	0
RNA5SP286	0	0	0	0
AL513124.1	0	0	0	0
AL355674.1	0	0	0	0
RORB-AS1	0	0	0	0
RORB	4	4	20	43
TRPM6	0	0	1	2
RN7SKP47	0	0	0	0
RPSAP75	0	0	0	0
RNU6-445P	0	0	0	0
AL158825.1	0	0	0	0
C9orf40	43	32	59	37
C9orf41-AS1	0	3	1	2
CARNMT1	140	116	156	120
AL158825.2	0	1	2	0
NMRK1	64	68	125	93
OSTF1	219	177	235	174
RNU6-1228P	0	0	0	0
AL158073.1	0	0	0	0
AL353780.1	0	0	0	0
OTX2P1	0	0	1	1
PCSK5	265	304	333	374
RBM22P5	0	0	0	0
RFK	50	38	119	71
RPSAP9	1	0	1	3
GCNT1	243	241	464	395
AL590664.1	0	0	0	0
PPIAP87	0	0	0	1
PRUNE2	595	904	1066	907
PCA3	54	150	136	110
AL359314.1	0	0	3	1
RF01894	0	0	0	0
DNAJB5P1	0	0	0	0
LYPLA2P3	0	0	0	0
AL353637.1	0	0	0	0
FOXB2	0	0	0	0
ATP5MFP3	0	0	0	0
RFC5P1	0	0	0	0
VPS13A-AS1	7	5	8	9
VPS13A	178	192	236	145
GNA14	3	5	5	9
GNA14-AS1	0	0	0	0
NUTF2P3	0	0	0	0
RNU6-1303P	0	0	0	0
GNAQ	257	338	514	400
AL353705.2	0	0	0	1
RN7SKP59	0	0	0	0
AL353705.3	0	0	0	0
AL353705.1	0	0	0	0
AL353705.4	0	0	0	0
CEP78	41	46	91	107
PSAT1	572	427	148	108
AL592221.1	0	0	0	0
MTND2P8	0	0	0	0
KRT18P24	0	0	0	0
AL512634.1	0	0	0	0
CHCHD2P9	2	0	2	3
AL358975.1	0	0	0	0
TLE4	106	117	246	218
AL353813.1	0	0	0	0
AL161912.3	0	0	0	0
NPAP1P6	0	0	0	0
AL161912.1	0	0	0	0
AL161912.2	0	0	0	0
AL161912.4	0	0	0	0
AL161782.1	0	0	0	0
LINC01507	0	0	0	0
NPAP1P4	0	0	0	0
MTCO1P51	0	0	0	0
MTND2P9	0	0	0	0
RPS19P6	0	0	0	0
AL138749.1	0	0	0	0
RPS20P25	0	0	0	0
AL161727.1	0	0	0	0
TLE1	219	241	326	184
AL591368.1	0	1	2	0
RNU6-1035P	0	0	1	0
RNA5SP287	0	0	0	0
RF00189	0	0	0	0
SPATA31D5P	0	0	0	0
AL158154.1	0	0	0	0
SPATA31D4	0	0	0	0
AL158154.2	0	0	0	0
SPATA31D3	0	0	0	0
SPATA31D2P	0	0	0	0
AL162726.3	1	1	0	0
SPATA31D1	1	0	0	0
SPATA31B1P	0	0	3	0
DDX10P2	0	0	0	1
AL158047.1	0	0	0	0
AL162726.1	0	0	0	0
MTCO3P40	0	0	0	0
AL162726.2	0	0	0	0
AL162726.4	0	0	0	0
AL356490.1	0	0	0	0
RPS6P12	0	0	0	0
RASEF	2	2	13	4
RN7SKP242	0	0	0	0
AL137847.3	0	0	0	0
AL137847.1	0	0	1	0
FRMD3	4	13	14	14
RNU4-29P	0	0	0	0
AL137847.2	0	0	0	0
RNU4-15P	0	0	0	0
IDNK	13	13	12	21
UBQLN1	506	521	767	582
AL354920.1	40	47	59	44
GKAP1	1	2	4	4
AL354733.1	3	1	3	2
AL354733.2	6	4	11	3
KIF27	41	28	60	37
C9orf64	120	111	161	153
HNRNPK	2315	2004	3577	2675
MIR7-1	0	0	0	0
AL354733.3	233	207	372	227
RMI1	9	9	19	6
AL390838.1	0	0	1	0
AL390838.2	0	0	0	0
SLC28A3	0	1	1	1
AL356134.1	0	0	0	0
AL354692.1	0	0	0	0
NTRK2	696	1060	473	297
UBE2V1P10	0	0	0	0
STK33P1	0	0	0	0
AGTPBP1	97	104	71	57
AL353743.4	0	1	0	0
AL157882.1	0	0	0	0
AL353743.2	0	0	0	1
AL353743.1	4	3	7	7
PHBP7	0	0	0	0
AL353743.3	0	0	0	0
NAA35	156	162	186	140
GOLM1	1581	1260	2166	1542
AL161447.1	0	1	0	0
C9orf153	0	1	2	0
AL137849.1	0	1	0	0
RN7SKP264	1	0	0	2
ISCA1	129	118	171	143
ZCCHC6	350	398	667	457
AL353678.1	0	0	0	0
AL158828.1	0	0	0	0
RNU2-36P	0	0	0	0
AL353613.1	0	0	0	0
GAS1	1288	1205	2178	1468
GAS1RR	4	7	18	26
AL513318.2	1	3	1	2
CDC20P1	2	0	2	4
AL513318.1	0	0	0	0
C9orf170	2	1	9	5
AL353752.1	0	0	0	0
DAPK1	61	74	91	90
AL161787.1	3	2	1	6
DAPK1-IT1	0	0	0	0
CTSL	744	650	1961	1970
AL160279.1	0	0	0	0
CTSL3P	0	0	1	0
AL772337.4	0	0	0	0
FBP2P1	0	0	0	0
ELF2P3	0	0	0	0
NPAP1P7	0	0	0	0
CTSLP8	0	0	0	0
AL772337.2	0	0	0	0
AL772337.1	0	0	0	0
AL772337.3	0	0	0	0
SPATA31E1	0	0	1	0
SPATA31C1	0	0	0	0
AL353572.2	0	0	0	0
AL353572.3	0	0	0	0
CDK20	67	70	121	80
RNU6-86P	0	0	0	0
RPS10P3	7	5	0	3
AL353572.1	0	0	0	0
SPATA31C2	0	1	0	0
AL353726.1	0	0	0	0
AL353726.2	0	0	0	0
AL451142.1	0	0	0	0
AL451142.2	0	0	0	0
RPSAP49	0	0	0	0
SPIN1	386	396	679	517
AL353748.2	3	6	6	2
HNRNPA1P14	4	5	3	3
AL353748.1	0	0	1	0
NXNL2	5	9	8	8
AL592486.1	0	0	0	0
MIR4289	0	0	0	0
PCNPP2	0	0	1	0
AL772202.1	0	0	0	0
C9orf47	6	6	8	20
S1PR3	166	176	357	367
SHC3	14	15	135	167
AL353150.1	3	1	8	9
CKS2	51	43	58	67
MIR3153	0	0	0	0
SECISBP2	139	167	269	219
SEMA4D	4	5	11	6
PA2G4P6	0	0	0	0
AL590233.1	0	0	0	0
GADD45G	5	9	21	12
AL606807.1	0	0	1	0
BX470209.1	0	0	0	0
BX470209.2	0	0	0	0
AL161629.1	0	0	0	0
MIR4290HG	0	0	0	0
MIR4290	0	0	0	0
IL6RP1	0	0	0	0
AL161629.2	0	0	0	0
AL353649.1	0	0	0	0
OR7E31P	0	0	0	0
OR7E116P	0	0	0	0
LINC01508	5	6	0	0
LINC01501	0	0	0	0
DIRAS2	7	11	0	0
OR7E109P	0	0	0	0
OR7E108P	0	0	0	0
SYK	1	0	0	1
AL355607.1	0	0	0	0
AL355607.2	1	1	34	4
AL158071.2	1	0	10	14
LINC00484	4	16	43	47
AL158071.3	6	4	11	23
AL158071.1	0	1	0	0
AL158071.4	4	3	1	3
AUH	70	64	78	84
NFIL3	216	313	495	394
AL353764.1	0	0	0	0
ROR2	170	182	217	212
PAICSP2	0	0	0	0
MIR3910-1	0	0	0	0
MIR3910-2	0	0	0	0
SPTLC1	441	414	677	469
AL391219.1	0	0	0	0
HSPE1P22	0	0	0	0
AL354751.3	0	3	5	0
MTATP6P29	0	0	0	0
MTCO3P29	1	1	1	2
MTND3P23	2	1	1	1
MTND4LP7	0	1	0	1
MTND4P15	0	3	2	1
AL354751.1	3	10	9	19
LINC00475	147	186	89	78
AL354751.2	1	1	2	0
BEND3P2	0	1	0	0
AL136097.3	0	0	0	0
AL136097.2	0	0	0	0
IARS	2188	1909	1701	1074
MIR3651	0	0	0	0
SNORA84	1	1	1	0
NOL8	140	167	200	170
CENPP	193	174	203	161
AL136097.1	0	1	0	1
OGN	630	481	497	69
OMD	2173	1688	1866	811
ASPN	7001	4712	4513	291
ECM2	389	337	792	876
MIR4670	0	0	0	0
AL157827.1	0	0	0	0
IPPK	196	176	209	142
AL137074.1	0	0	0	0
BICD2	536	567	745	586
ANKRD19P	8	9	16	16
RNU6-714P	0	0	0	0
EEF1DP2	5	5	7	5
AL136981.2	2	5	5	2
ZNF484	58	74	114	99
AL136981.1	0	0	0	0
SNX18P2	0	0	0	0
ALOX15P2	0	0	0	0
FGD3	12	7	0	0
SUSD3	1	2	6	8
AL451065.1	0	0	0	0
CARD19	115	107	239	198
NINJ1	88	88	268	276
AL390760.1	0	0	0	1
WNK2	1	1	0	1
C9orf129	0	0	0	0
RNU6-829P	0	0	0	0
AL583839.2	0	0	0	0
AL583839.1	2	3	6	1
FAM120AOS	136	164	214	175
FAM120A	579	785	825	580
PHF2	151	199	274	204
MIR548AU	0	0	0	0
MIR4291	0	0	0	0
AL442224.1	0	0	0	0
BARX1	25	42	20	22
BARX1-AS1	1	6	0	3
PTPDC1	150	179	290	216
CYCSP24	5	2	6	3
AL158152.2	8	5	3	8
MIRLET7A1	0	1	1	3
MIRLET7F1	1	1	1	0
AL158152.1	4	17	17	17
MIRLET7DHG	12	19	23	19
MIRLET7D	1	0	0	2
ZNF169	14	13	20	17
VDAC1P11	0	0	0	0
NUTM2F	1	0	0	0
AL691447.2	8	7	8	12
AL691447.1	0	0	0	0
AL691447.3	1	2	2	2
MFSD14B	228	189	269	311
YRDCP1	0	1	1	2
AL358232.1	0	1	0	0
RNU6-669P	0	0	0	0
PCAT7	8	5	3	7
FBP2	1	2	2	0
FBP1	3	1	1	0
C9orf3	457	508	415	277
MIR2278	0	0	1	0
AL807757.1	1	2	2	2
AL807757.2	1	4	3	1
AL353768.1	2	3	2	2
MIR6081	8	3	0	1
MIR23B	7	5	1	2
MIR27B	18	23	16	4
MIR3074	8	10	4	5
MIR24-1	0	0	0	0
FANCC	69	104	82	65
AL354893.2	4	3	1	3
AL354893.1	0	0	1	0
RNA5SP288	0	0	0	0
AL157384.1	2	1	0	2
AL161729.3	0	0	1	0
MT1P1	0	0	0	0
PTCH1	398	587	109	91
AL161729.2	6	10	0	3
AL161729.1	27	48	14	12
AL161729.4	4	5	3	1
AL392185.1	0	0	0	0
AL354861.2	0	0	3	3
AL354861.1	0	0	0	1
LINC00476	46	35	54	51
AL354861.3	0	3	1	0
RNU2-46P	0	0	1	0
ERCC6L2	211	192	262	172
RNA5SP289	0	0	0	0
AL161454.1	0	0	2	2
LINC00092	0	0	1	1
AL449403.1	0	0	0	0
AL449403.2	0	0	0	0
EIF4BP3	84	80	48	23
HSD17B3	0	0	0	0
AL160269.1	4	6	3	4
HSD17B3-AS1	0	0	0	1
RNU6-1160P	0	0	0	0
SLC35D2	24	13	28	22
ZNF367	8	7	7	5
AL133477.1	1	0	0	1
HABP4	101	91	139	103
CDC14B	127	112	185	161
AAED1	69	49	143	98
AL589843.1	6	1	4	1
AL589843.2	5	5	1	0
ZNF510	69	78	134	97
ZNF782	17	29	29	28
MFSD14C	74	102	146	104
AL158827.2	2	3	5	2
AL158827.1	0	0	0	0
NUTM2G	2	6	2	3
YRDCP2	0	1	0	0
CTSV	0	1	3	4
TCEA1P1	0	0	0	0
GAS2L1P2	0	0	0	0
VN1R51P	0	0	1	0
FAM220CP	0	1	0	0
AL445670.1	1	1	1	0
ANKRD18CP	1	4	1	1
RNU6-798P	0	0	0	0
AL590705.3	0	0	0	1
ZNF322P1	0	0	1	0
AL590705.1	2	2	6	3
AL590705.2	0	0	1	0
AL590705.5	5	4	8	11
AL512590.3	0	0	2	0
AL590705.4	0	1	0	0
AL512590.2	0	0	0	0
CCDC180	5	8	6	13
MIR1302-8	0	0	0	1
AL512590.1	0	0	0	0
TDRD7	36	33	194	170
TMOD1	57	51	98	82
AL162385.1	0	0	1	0
TSTD2	126	114	245	203
NCBP1	237	226	384	280
AL162385.2	2	0	1	2
XPA	51	55	74	77
KRT18P13	0	0	0	0
AL445531.1	0	0	0	0
PTCSC2	0	0	0	0
FOXE1	1	0	0	0
TRMO	56	33	95	62
HEMGN	0	0	0	0
ANP32B	145	238	155	140
AL354726.1	0	3	1	0
RNU6-918P	0	0	0	0
NANS	277	174	242	178
TRIM14	87	82	176	128
CORO2A	11	14	13	3
TBC1D2	208	159	202	88
MIR6854	0	0	0	0
AL360081.1	0	2	1	0
GABBR2	0	0	0	0
SEPT7P7	0	0	2	0
ANKS6	168	171	216	182
GALNT12	9	2	9	14
AL136084.2	2	1	3	4
AL136084.1	0	0	0	0
COL15A1	452	403	30	7
AL136084.3	0	5	0	0
TGFBR1	1203	1120	1627	1037
RNA5SP290	2	0	1	1
AL162427.1	0	0	0	0
RN7SL794P	0	0	0	0
ALG2	264	251	307	266
SEC61B	333	259	373	206
RN7SKP225	0	0	0	0
KRT8P11	0	0	0	0
NAMA	1	0	0	1
AL137067.2	0	0	0	0
AL137067.1	0	0	0	0
AL162394.1	0	0	0	0
AL359710.1	0	0	4	0
NR4A3	32	34	11	7
STX17-AS1	1	1	0	2
STX17	74	95	176	148
AL358937.1	4	4	10	10
ERP44	127	122	248	166
UPF3AP3	1	0	3	1
INVS	83	90	144	145
RN7SL75P	0	0	1	1
RPS2P35	0	3	0	0
AL137072.1	0	1	0	0
NANOGP5	1	1	4	0
TEX10	119	137	162	142
MSANTD3	135	115	151	78
MSANTD3-TMEFF1	0	0	0	0
TMEFF1	1	1	8	3
CAVIN4	3	5	14	5
RN7SKP87	0	2	0	0
ACTG1P19	0	0	0	0
AL162395.1	0	0	0	0
GAPDHP26	0	0	0	0
PLPPR1	1	1	0	0
AL161631.1	0	0	0	0
BAATP1	0	0	0	0
TRMT112P4	0	0	0	0
AL359893.1	0	0	0	0
BAAT	1	0	0	1
FYTTD1P1	0	0	0	0
MRPL50	60	51	131	90
ZNF189	95	117	141	141
ALDOB	0	0	0	1
AL353621.2	0	0	0	0
TMEM246-AS1	0	0	2	0
TMEM246	57	69	87	73
AL353621.1	0	0	0	0
RNF20	486	395	575	514
GRIN3A	4	9	5	5
PPP3R2	0	0	0	0
MTND3P4	0	0	0	0
ARL2BPP7	0	0	0	0
RNU6-329P	0	0	0	0
AL442644.1	0	0	0	0
LINC00587	0	0	0	0
ZYG11AP1	0	0	0	0
AL365396.1	0	0	0	0
CYLC2	0	0	0	0
AL589823.1	0	0	0	0
LINC01492	0	0	0	0
AL390962.1	0	0	0	0
RNA5SP291	0	0	0	0
AL590381.1	0	0	0	0
SMC2-AS1	1	2	7	6
SMC2	132	144	157	134
TOPORSLP	0	0	1	0
AL512646.1	0	0	0	0
OR13F1	0	0	0	0
AL450426.1	0	0	0	1
OR13C4	0	0	0	0
OR13C3	0	0	0	0
OR13C8	0	0	0	0
OR13D2P	0	0	0	0
OR13C5	0	0	1	0
OR13C2	1	0	0	0
OR13C9	0	1	1	0
OR13I1P	0	0	0	0
OR13C1P	0	0	0	0
OR13D1	0	0	0	1
OR13D3P	2	2	0	1
NIPSNAP3A	86	70	164	115
NIPSNAP3B	4	9	1	5
ABCA1	2325	2598	5188	4280
AL359182.1	5	6	5	6
AL359182.2	2	1	0	2
RN7SKP191	0	0	0	0
SLC44A1	1248	1361	2851	2218
FSD1L	20	30	40	33
RALGAPA1P1	10	3	9	5
AL158070.1	0	1	1	2
FKTN	132	128	204	160
AL158070.2	0	0	0	0
TAL2	1	0	0	0
TMEM38B	80	67	90	64
AL592437.1	0	0	2	0
AL592437.2	1	1	0	0
SLC25A6P5	0	0	0	1
LINC01505	17	14	33	13
AL732323.1	1	0	0	0
AL451140.1	0	2	2	0
MIR8081	0	0	1	0
AL512649.2	0	0	0	1
RN7SKP77	0	0	0	0
AL512649.1	0	0	0	0
RNA5SP292	0	0	0	0
ZNF462	337	486	428	288
AL807761.4	3	7	4	3
AL512593.1	3	1	4	2
AL807761.1	0	0	0	0
AL807761.2	0	0	0	0
AL807761.3	0	0	0	2
AL445487.1	0	0	1	0
RAD23B	934	854	1441	1095
LINC01509	0	0	0	0
HMGN2P32	0	0	0	0
RNU6-492P	0	0	0	0
KLF4	304	369	280	218
AL389915.1	0	0	0	0
PPIAP88	0	0	0	0
RNU6-996P	0	0	0	0
RNU6-1064P	0	0	0	0
RN7SL659P	1	0	0	1
RPL36AP6	0	0	0	0
AL162389.1	0	0	0	0
RNA5SP293	0	0	0	0
RPS15AP27	0	1	0	0
AC068050.1	0	0	2	0
CHCHD4P2	0	0	0	0
AL353742.1	0	0	0	0
